"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Bulgaria","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","3663900000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Health","06","2011","1000","lev","2008","Western calendar year","2973300000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Health","06","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","2117700000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Transport","07","2011","1000","lev","2008","Western calendar year","8291400000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Transport","07","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","8199300000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Communication","08","2011","1000","lev","2008","Western calendar year","2828900000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Communication","08","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","2850200000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Recreation and culture","09","2011","1000","lev","2008","Western calendar year","3855800000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Recreation and culture","09","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","3954400000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Education","10","2011","1000","lev","2008","Western calendar year","484300000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Education","10","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","478100000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Restaurants and hotels","11","2011","1000","lev","2008","Western calendar year","3568400000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Restaurants and hotels","11","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","3235300000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Miscellaneous goods and services","12","2011","1000","lev","2008","Western calendar year","2693000000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Miscellaneous goods and services","12","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","2688400000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure in domestic market","P.31","2011","1000","lev","2008","Western calendar year","53979900000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure in domestic market","P.31","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","50429100000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Plus: Direct purchases abroad by residents","","2011","1000","lev","2008","Western calendar year","1875086000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Plus: Direct purchases abroad by residents","","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","1875100000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Health","13.2","2011","1000","lev","2008","Western calendar year","24837000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Health","13.2","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","26143000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Less: Direct purchases in domestic market by non-residents","","2011","1000","lev","2008","Western calendar year","5578812000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Less: Direct purchases in domestic market by non-residents","","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","5578800000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Recreation and culture","13.3","2011","1000","lev","2008","Western calendar year","56766000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Recreation and culture","13.3","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","50704000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure","P.31","2011","1000","lev","2008","Western calendar year","50026200000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure","P.31","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","46725400000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Education","13.4","2011","1000","lev","2008","Western calendar year","46603000",""
